Industry,Job_Title,Annual_Salary,Extra_Compensation,Country,City,Overall_Experience,Field_Experience,Highest_Education,Gender,Race
Education (Higher Education),Research and Instruction Librarian,42974,0,USA,Boston,5-7 years,5-7 years,Master's degree,Woman,White
Computing or Tech,Change & Internal Communications Manager,54600,4000,UK,Cambridge,8 - 10 years,5-7 years,College degree,Non-binary,White
"Accounting, Banking & Finance",Marketing Specialist,26566,0,USA,Chattanooga,2 - 4 years,2 - 4 years,College degree,Woman,White
Nonprofits,Program Manager,48444,2344,USA,Milwaukee,8 - 10 years,5-7 years,College degree,Woman,White
"Accounting, Banking & Finance",Accounting Manager,46881,5469,USA,Greenville,8 - 10 years,5-7 years,College degree,Woman,White
Education (Higher Education),Scholarly Publishing Librarian,48444,0,USA,Hanover,8 - 10 years,2 - 4 years,Master's degree,Man,White
Education (Primary/Secondary),Librarian,39068,0,USA,Yuma,5-7 years,5-7 years,Master's degree,Man,White
Computing or Tech,Systems Analyst,87512,7813,USA,St. Louis,21 - 30 years,21 - 30 years,College degree,Woman,White
"Accounting, Banking & Finance",Senior Accountant,35161,0,USA,Palm Coast,21 - 30 years,21 - 30 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
Nonprofits,Office Manager,37114,0,USA,"Boston, MA",5-7 years,5-7 years,College degree,Woman,White
Education (Higher Education),Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity,48444,0,USA,Scranton,11 - 20 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin, White"
"Accounting, Banking & Finance",Manager of Information Services,78136,0,USA,Detroit,11 - 20 years,11 - 20 years,College degree,Man,"Asian or Asian American, White"
Health care,Patient care coordinator,19203,0,Uganda,Remote,1 year or less,1 year or less,College degree,Woman,White
Utilities & Telecommunications,Quality And Compliance Specialist,24000,500,UK,Lincoln,11 - 20 years,5-7 years,College degree,Man,White
Business or Consulting,Executive Assistant,66415,3906,USA,Chicago,8 - 10 years,8 - 10 years,Some college,Woman,White
Art & Design,graphic designer,46100,0,USA,Pomona,21 - 30 years,21 - 30 years,College degree,Woman,White
Business or Consulting,Senior Manager,76573,781,USA,Atlanta,11 - 20 years,2 - 4 years,Master's degree,Woman,White
Education (Higher Education),Assistant Director of Academic Advising,42193,0,USA,Boca Raton,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Health care,Data Programmer Analyst,57820,0,USA,Philadelphia,5-7 years,5-7 years,Master's degree,Woman,White
Nonprofits,Program Coordinator & Assistant Editor ,39068,0,USA,Atlanta,5-7 years,2 - 4 years,PhD,Woman,White
Nonprofits,Event Planner,37807,0,Uganda,Toronto,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Government and Public Administration,Researcher,75010,781,USA,Dayton,8 - 10 years,2 - 4 years,PhD,Woman,Asian or Asian American
Education (Higher Education),Communications Specialist,46881,0,USA,Ann Arbor,11 - 20 years,1 year or less,Master's degree,Woman,White
Nonprofits,Program Director,48444,0,USA,Washington DC,5-7 years,2 - 4 years,College degree,Man,White
Government and Public Administration,Economist,109390,0,USA,Washington,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Engineering or Manufacturing,Research Engineer,62509,0,USA,San Antonio,5-7 years,5-7 years,College degree,Woman,White
Nonprofits,Volunteer and Giving Coordinator,30473,0,USA,Minneapolis,2 - 4 years,2 - 4 years,College degree,Woman,White
Media & Digital,Editor,97670,0,USA,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman,White
"Accounting, Banking & Finance",Financial Advisor,179713,0,USA,St. Louis,11 - 20 years,11 - 20 years,College degree,Woman,White
"Accounting, Banking & Finance",Accounting Manager,85949,11720,USA,Richmond,21 - 30 years,11 - 20 years,College degree,Woman,White
Nonprofits,Administrative and HR Manager,39068,0,USA,Washington,5-7 years,2 - 4 years,College degree,Woman,White
Education (Higher Education),Senior IRB Analyst,53132,0,USA,Research Triangle,5-7 years,2 - 4 years,Master's degree,Woman,White
Media & Digital,Reporter,32035,78,USA,Kalamazoo,2 - 4 years,2 - 4 years,College degree,Woman,White
"Accounting, Banking & Finance",Senior Administrator ,59383,7813,USA,Manhattan,5-7 years,2 - 4 years,College degree,Woman,White
Government and Public Administration,Staff Services Manager II,60946,0,USA,Sacramento,8 - 10 years,5-7 years,Master's degree,Woman,White
"Accounting, Banking & Finance",Receptionist,28910,0,USA,Dallas,2 - 4 years,2 - 4 years,College degree,Woman,White
Engineering or Manufacturing,Lead Engineer,78136,39068,USA,waynesboro,21 - 30 years,21 - 30 years,College degree,Woman,White
"Marketing, Advertising & PR",Senior Copywriter,35000,6000,UK,Liverpool,11 - 20 years,11 - 20 years,College degree,Woman,White
Government and Public Administration,Manager of Data Integrity and Prospect Research,50788,0,USA,Richmond,5-7 years,5-7 years,College degree,Man,White
Computing or Tech,Principal Software Engineer,146505,3906,USA,Pittsburgh,8 - 10 years,5-7 years,College degree,Woman,White
Computing or Tech,Intelligence Analyst,85949,15627,USA,"Arlington, VA",8 - 10 years,8 - 10 years,Master's degree,Man,White
Nonprofits,Project Manager,52058,1172,USA,Boston,8 - 10 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
Computing or Tech,Mobile developer,112985,1953,USA,Boston,5-7 years,5-7 years,PhD,Woman,White
Computing or Tech,Product Design Director,156936,31254,USA,Chapel Hill,11 - 20 years,11 - 20 years,College degree,Woman,White
Engineering or Manufacturing,Engineering specialist,72014,900,Uganda,Vancouver,11 - 20 years,8 - 10 years,College degree,Woman,White
Retail,"Manager, Total Rewards",58511,6001,Uganda,Toronto,8 - 10 years,8 - 10 years,College degree,Woman,White
Education (Higher Education),Research and Development Engineer 3,75010,0,USA,Berkeley,5-7 years,5-7 years,PhD,Woman,White
Education (Primary/Secondary),Science Teacher (Public High School),41412,781,USA,Apple Valley,5-7 years,1 year or less,Master's degree,Woman,White
"Marketing, Advertising & PR","Senior Manager, Programmatic",74229,7813,USA,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White
Computing or Tech,Managed Services Sales Coordinator,56258,2344,USA,Troy,11 - 20 years,5-7 years,Master's degree,Woman,White
Media & Digital,Editor,31206,0,Uganda,Toronto,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American
Engineering or Manufacturing,Water Resources Engineer,82824,0,USA,Boston,21 - 30 years,11 - 20 years,Master's degree,Woman,White
Government and Public Administration,Program Officer,89856,0,USA,DC,5-7 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin"
Business or Consulting,Account Supervisor,78526,2344,USA,Washington,11 - 20 years,5-7 years,College degree,Woman,White
Law,Legal Secretary,25941,0,USA,Linden,8 - 10 years,2 - 4 years,Some college,Woman,White
Government and Public Administration,Policy Lead,52000,0,UK,Bristol,11 - 20 years,11 - 20 years,Master's degree,Woman,White
