submission_date,industry,job_function,job_title,annual_salary_gross,additional_compensation,currency,country,city,remote_or_onsite,experience_field,education_level,gender,race
2023-04-11,Education (Higher Education),Education (Higher Education),Director of Financial Aid,48262.08,0.0,GBP,USA,Anadarko ,On-site,11-20 years,College degree,Woman,White
2023-04-11,Education (Higher Education),Government & Public Administration,Administrative Assistant,33783.456,0.0,GBP,USA,Richmond,On-site,2-4 years,College degree,Man,White
2023-04-11,"Accounting, Banking & Finance",Administration,Executive Assistant,52283.92,0.0,GBP,USA,Orem,On-site,2-4 years,Some college,Woman,White
2023-04-11,Computing or Tech,Computing or Tech,Devops Automation Manager,64349.439999999995,0.0,GBP,USA,Wellesley,Fully remote,5-7 years,College degree,Non-binary,White
2023-04-11,Hospitality & Events,Hospitality & Events,Assistant Manager,40218.4,0.0,GBP,USA,Columbus,On-site,5-7 years,College degree,Woman,White
2023-04-11,Computing or Tech,Computing or Tech,Systems Administrator,79632.432,0.0,GBP,USA,Chicago,Fully remote,5-7 years,College degree,Woman,White
2023-04-11,Engineering or Manufacturing,Engineering or Manufacturing,Design Engineer,57914.496,0.0,GBP,USA,Portland,On-site,11-20 years,Master's degree,Non-binary,White
2023-04-11,Education (Primary/Secondary),Education (Primary/Secondary),High School Science Teacher,51479.551999999996,0.0,GBP,USA,"Henrietta, NY",On-site,11-20 years,Master's degree,Man,White
2023-04-11,Utilities & Telecommunications,Computing or Tech,Senior Network Architect,164895.44,16087.359999999999,GBP,USA,Laurel,On-site,21-30 years,Master's degree,Woman,White
2023-04-11,Education (Higher Education),Education (Higher Education),Advisor & Program Manager,48262.08,0.0,GBP,USA,Madison,Hybrid,5-7 years,College degree,Woman,White
2023-04-11,Health care,Nonprofits,Prospect Research Analyst,49066.448,0.0,GBP,USA,Boston,Fully remote,5-7 years,College degree,Woman,White
2023-04-11,Education (Higher Education),Administration,Administrative Coordinator,56305.759999999995,0.0,GBP,USA,Boston,Hybrid,5-7 years,College degree,Woman,White
2023-04-11,Engineering or Manufacturing,Administration,Administrative Associate,42631.504,965.2416,GBP,USA,Columbus,Hybrid,5-7 years,Master's degree,Man,White
